id,name,manufacturer,manufacturerID,type,H,S,A,B,C28,C70,retention,USPtype,phase
131,Apex C8,Grace/Jones,44,A,0.86,-0.07,0.23,0.17,1.36,1.37,4.4,L1,C18
132,Apex II C18,Grace/Jones,44,A,1,-0.07,0.23,0.12,2.03,2.69,6.7,L1,C18
133,Genesis AQ 120A,Grace/Jones,44,B,0.96,-0.03,-0.15,0,0.06,0.23,9.6,L1,C18
134,Genesis C18 120A,Grace/Jones,44,B,1,0,-0.06,0,0.13,0.12,9.8,L1,C18
135,Genesis C18 300A,Grace/Jones,44,B,0.97,0,-0.08,0.01,0.26,0.27,3.5,L1,C18
136,Genesis C4 300A,Grace/Jones,44,B,0.61,-0.05,-0.39,0.03,0.14,0.24,1.1,L26,C4
137,Genesis C4 EC 120A,Grace/Jones,44,B,0.64,-0.05,-0.33,0.02,0.06,0.4,3.4,L26,C4
138,Genesis C8 120A,Grace/Jones,44,B,0.82,-0.01,-0.08,0.01,0.05,0.3,6.2,L7,C8
139,Genesis EC C8 120A,Grace/Jones,44,B,0.86,0,-0.17,0.02,0.06,0.14,6.9,L7,C8
140,Genesis CN 120A,Grace/Jones,44,CN,0.42,-0.11,-0.68,-0.01,0,0.57,1.4,L10,CN
141,Genesis CN 300A,Grace/Jones,44,CN,0.39,-0.1,-0.64,0,0.02,0.39,0.5,L10,CN
142,Genesis Phenyl,Grace/Jones,44,phenyl,0.6,-0.14,-0.36,0.03,0.13,0.58,2.9,L11,Phenyl
143,Nucelosil 100-5-C8 HD,Macherey Nagel,29,A,0.86,0,-0.17,0.02,0.04,0.18,6.3,L7,C8
144,Nucleosil 100 5 C18 HD,Macherey Nagel,29,A,0.96,-0.02,-0.12,0,0.08,0.15,8.8,L1,C18
145,Nucleosil 100 5 C18 Nautilus,Macherey Nagel,29,EP,0.7,0,-0.48,0.26,-0.44,0.48,5.4,L60,EP
146,Nucleosil  C8,Macherey Nagel,29,A,0.57,-0.13,0.03,0.01,0.28,1.12,2.7,L7,C8
147,Nucleosil C18,Macherey Nagel,29,A,0.9,-0.05,0.01,-0.03,0.32,0.73,7.3,L1,C18
148,Nucleosil 300 5 C18,Macherey Nagel,29,A,0.86,-0.08,0,0.01,0.45,0.98,2.7,L1,C18
149,Nucleodur C8 Gravity 5 micron,Macherey Nagel,29,B,0.86,0.03,-0.24,0,-0.15,0.63,6.6,L1,C18
150,Nucleodur C18 Gravity,Macherey Nagel,29,B,1.05,0.04,-0.09,-0.02,-0.08,0.31,11,L1,C18
151,EC Nucleosil 100-5 Protect 1,Macherey Nagel,29,EP,0.54,0.04,-0.41,0.3,-3.21,-0.57,2.7,,EP
152,ACE 5 C8-300,ACT,23,B,0.78,0,-0.11,0.03,0.14,0.38,1.8,L7,C8
153,ACE 5 C4,ACT,23,B,0.67,-0.01,-0.17,0.02,0.09,0.31,2.5,L26,C4
154,ACE 5 C4-300,ACT,23,B,0.71,-0.01,-0.18,0.03,0.16,0.35,1.3,L26,C4
155,ACE 5 C18,ACT,23,B,1,0.02,-0.09,0,0.14,0.09,7.9,L1,C18
156,ACE 5 C18-300,ACT,23,B,0.98,0.02,0.04,0.01,0.26,0.23,3,L1,C18
157,ACE 5 C8,ACT,23,B,0.827,0.005,-0.18,0.026,0.11,0.16,4.9,L7,C8
158,ACE 5 CN,ACT,23,CN,0.4,-0.1,-0.72,0,-0.08,0.44,1,L10,CN
159,ACE 5 CN-300,ACT,23,CN,0.46,-0.07,-0.16,0.03,0.15,0.85,0.4,L10,CN
160,ACE 5 AQ,ACT,23,EP,0.8,-0.05,-0.12,0.03,0,0.16,4.7,,EP
161,ACE 5 Phenyl,ACT,23,phenyl,0.64,-0.13,-0.29,0.02,0.13,0.46,2.8,L11,Phenyl
162,ACE Phenyl-300,ACT,23,phenyl,0.59,-0.1,-0.23,0.03,0.16,0.54,1.1,L11,Phenyl
163,Precision CN,Mac-Mod Analytical,48,CN,0.43,-0.11,-0.48,0.01,-0.04,0.6,1.3,L10,CN
164,Precision C18,Mac-Mod Analytical,48,B,1,0,-0.04,-0.01,0.07,0.34,9.5,L1,C18
165,Precision C8,Mac-Mod Analytical,48,B,0.82,-0.01,-0.18,0.02,0.09,0.24,4.9,L7,C8
166,Precision C18-PE,Mac-Mod Analytical,48,EP,0.97,-0.01,-0.08,0,0,0.16,8.6,L1,EP
167,Precision C8-PE,Mac-Mod Analytical,48,EP,0.81,-0.02,-0.15,0.01,0.05,0.27,5,L7,EP
168,Precision Phenyl,Mac-Mod Analytical,48,phenyl,0.59,-0.13,-0.29,0.02,0.09,0.5,2.6,L11,Phenyl
169,LiChrosorb RP-18,Merck KGaA (EMD Millipore)Ê,9,A,0.9,-0.07,0.15,-0.08,0.71,0.97,7.1,L1,C18
170,LiChrospher 100 RP-18,Merck KGaA (EMD Millipore)Ê,9,A,1,-0.02,0.18,-0.03,0.64,0.89,9.5,L1,C18
171,Chromolith RP18e,Merck KGaA (EMD Millipore)Ê,9,B,1,0.02,0,-0.01,0.1,0.18,3.1,L1,C18
172,LiChrospher 60 RP-Select B,Merck KGaA (EMD Millipore)Ê,9,B,0.74,-0.06,-0.04,0,0.1,0.86,5.1,L1,C8
173,Purospher RP-18,Merck KGaA (EMD Millipore)Ê,9,B,0.84,0.23,0.15,0.3,-0.96,0.9,4.9,L1,C18
174,Purospher STAR RP18e,Merck KGaA (EMD Millipore)Ê,9,B,1,0.01,-0.07,-0.03,0.01,0.04,10.6,L1,C18
175,Superspher 100 RP-18e,Merck KGaA (EMD Millipore)Ê,9,B,1.03,0.02,-0.02,-0.01,0.35,0.26,9.3,L1,C18
176,COSMOSIL C18-AR-II,Nacalai Tesque,10,B,1.01,0.01,0.12,-0.02,0.11,0.49,8.1,L1,C18
177,COSMOSIL C18-MS-II,Nacalai Tesque,10,B,1.03,0.04,-0.13,-0.01,-0.11,-0.02,8.1,L1,C18
178,COSMOSIL 5-C18-PAQ,Nacalai Tesque,10,EP,0.82,-0.02,-0.34,0.05,-0.35,0.04,5.5,,EP
179,Develosil C30-UG-5,Nomura,22,B,0.97,-0.03,-0.19,0.01,0.15,0.17,7.8,L62,C30
180,Develosil ODS-HG-5,Nomura,22,B,0.98,0.01,-0.17,0,0.18,0.22,8.2,L1,C18
181,Develosil ODS-MG-5,Nomura,22,B,0.96,-0.03,-0.16,0,-0.01,0.05,11.2,L1,C18
182,Develosil ODS-UG-5,Nomura,22,B,0.99,0.02,-0.14,0,0.15,0.15,8.4,L1,C18
183,Bondclone C18,Phenomenex,11,B,0.82,-0.05,-0.12,0.04,0.07,0.34,4.5,L1,C18
184,Partisil C8,Phenomenex,11,B,0.74,-0.07,-0.09,0.07,0.03,0.54,4.5,L7,C8
185,Partisil ODS(3),Phenomenex,11,A,0.81,-0.07,0,0,0.31,0.9,5.4,L1,C18
186,Sphereclone ODS(2),Phenomenex,11,A,0.97,-0.04,0.27,-0.05,0.86,1.32,7.6,L1,C18
187,Jupiter 300 C18,Phenomenex,11,B,0.94,0.03,-0.22,0,0.23,0.21,2.9,L1,C18
188,Jupiter 300 C4,Phenomenex,11,B,0.69,0,-0.42,0.01,0.15,0.14,1.3,L26,C4
189,Jupiter 300 C5,Phenomenex,11,B,0.72,0.02,-0.38,0.01,0.12,0.33,1.5,,C5
190,Luna C18,Phenomenex,11,B,1.01,0.02,0.07,0,-0.36,-0.03,10.9,L1,C18
191,Luna C18(2),Phenomenex,11,B,1,0.02,-0.12,0,-0.26,-0.17,9.6,L1,C18
192,Luna C5,Phenomenex,11,B,0.8,0.03,-0.25,0,-0.27,0.11,5.9,,C5
193,Luna C8,Phenomenex,11,B,0.87,0.03,-0.01,0.02,-0.4,0.13,7,L7,C8
194,Luna C8(2),Phenomenex,11,B,0.88,0.04,-0.22,0,-0.3,-0.17,7.2,L7,C8
195,Prodigy ODS(2),Phenomenex,11,B,0.99,0.03,-0.11,0,-0.09,0.23,7.7,L1,C18
196,Prodigy ODS(3),Phenomenex,11,B,1.02,0.02,-0.13,-0.01,-0.19,-0.13,10.1,L1,C18
197,Selectosil C18,Phenomenex,11,B,0.91,-0.05,0.03,0,0.29,0.74,7,L1,C18
198,Synergi Max-RP,Phenomenex,11,B,0.98,0.02,0,-0.01,-0.13,-0.03,9.5,L1,C18
199,Ultracarb ODS (30),Phenomenex,11,B,1.11,0.01,0.37,-0.05,-0.31,0.73,18.2,L62,C18
200,Aqua C18,Phenomenex,11,B,0.96,-0.03,0.03,0,0.06,0.27,8.8,L1,C18
201,Luna CN,Phenomenex,11,CN,0.45,-0.11,-0.32,-0.02,0.43,1.32,1.3,L10,CN
202,Polaris C18-Ether,Agilent Technologies/Varian,33,EP,0.94,-0.01,-0.12,0.02,0.16,0.55,5.5,,EP
203,Polaris C8-Ether,Agilent Technologies/Varian,33,EP,0.7,-0.02,-0.31,0.04,0.09,0.26,1.8,,EP
204,Synergi Hydro-RP,Phenomenex,11,EP,1.02,0,0.16,-0.04,-0.07,0.26,11.3,L1,EP
205,Synergi Polar-RP,Phenomenex,11,EP,0.65,-0.14,-0.25,0,0.05,0.77,3.9,L1,EP
206,Luna Phenyl-Hexyl,Phenomenex,11,phenyl,0.78,-0.11,-0.27,0,0,0.38,5.2,L11,Phenyl
207,Prodigy Phenyl-3,Phenomenex,11,phenyl,0.52,-0.19,0.05,0.02,0.23,1.46,2.3,L11,Phenyl
208,Curosil-PFP,Phenomenex,11,F,0.69,-0.07,-0.26,0,0.11,0.37,4,L43,F
209,Onyx Monolithic C8,Phenomenex,11,B,0.82,0,0,0,-0.02,0.44,2,L7,C8
210,Onyx Monolithic C18,Phenomenex,11,B,1.01,0.02,0.22,-0.01,0.12,0.43,3.2,L1,C18
211,Gemini C18 110A,Phenomenex,11,B,0.96,0,0.02,0.01,-0.09,0.19,8,L1,C18
212,Synergi Fusion-RP,Phenomenex,11,EP,0.87,-0.03,-0.01,0,-0.23,0.36,7.5,,EP
214,Allure C18,Restek,12,B,1.13,0.05,0.04,-0.04,-0.03,0.02,17.9,L1,C18
215,Ultra C18,Restek,12,B,1.05,0.03,-0.03,-0.02,0.05,0,12.2,L1,C18
216,Ultra C8,Restek,12,B,0.87,0.01,-0.19,0.01,-0.03,-0.07,8.2,L7,C8
218,Allure PFP Propyl,Restek,12,F,0.83,-0.26,0.05,0.34,1.1,1.65,7.4,L43,F
220,UltraSep ES AMID H RP18P,SEPSERV,50,EP,0.75,-0.01,-0.1,0.25,-0.52,0.85,4.9,,EP
221,UltraSep ES PHARM RP18,SEPSERV,50,A,0.95,-0.06,0.43,-0.05,0.59,1.67,8.5,L1,C18
222,Exsil C8,no longer available,49,A,0.75,-0.07,-0.04,-0.01,0.47,0.97,4.7,L7,C8
223,Exsil ODS,no longer available,49,A,0.99,-0.03,0.29,-0.04,0.83,1.22,7.6,L1,C18
224,Wakosil 5 C8 RS,no longer available,49,B,0.8,0,-0.27,0,-0.11,0.09,5.6,L7,C8
225,Wakosil II 5 C18 AR,no longer available,49,B,0.99,0.07,-0.05,-0.03,0.07,0.01,6.2,L1,C18
226,Wakosil II 5 C18 HG,no longer available,49,B,1.03,0.03,0.01,-0.02,0,0.21,7.1,L1,C18
227,Wakosil II 5 C18 RS,no longer available,49,B,0.96,0,-0.16,0,-0.07,0.04,9.2,L1,C18
228,CAPCELL C18 UG120,Shiseido,14,B,1,0.03,0.03,-0.01,0.01,0,6.9,L1,C18
229,CAPCELL C18 AG120,Shiseido,14,A,1.03,0.06,0.12,-0.06,0.54,0.62,7.2,L1,C18
230,CAPCELL C18 MG,Shiseido,14,B,1,0.01,0.04,0,0.07,0,10.2,L1,C18
